"skuName","unitOfMeasure","type","retailPrice","unitPrice","currencyCode","location","effectiveStartDate","meterId","meterName","skuId","productName","serviceFamily"
"100 GB Commitment Tier","1/Day","Consumption","380.1815","380.1815","GBP","AE Central","07/01/2023 00:00:00","50ba79a1-229d-5739-b813-b3c69796330b","100 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZN","Sentinel","Management and Governance"
"100 GB Commitment Tier","1/Day","Consumption","509.12","509.12","USD","AE Central","07/01/2023 00:00:00","50ba79a1-229d-5739-b813-b3c69796330b","100 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZN","Sentinel","Management and Governance"
"100 GB Commitment Tier","1/Day","Consumption","447.4207","447.4207","EUR","AE Central","07/01/2023 00:00:00","50ba79a1-229d-5739-b813-b3c69796330b","100 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZN","Sentinel","Management and Governance"
"1000 GB Commitment Tier","1/Day","Consumption","3185.3041","3185.3041","GBP","AE Central","07/01/2023 00:00:00","e352afe8-a68f-59a4-8e71-0abdbe3e2d21","1000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZR","Sentinel","Management and Governance"
"1000 GB Commitment Tier","1/Day","Consumption","4265.6","4265.6","USD","AE Central","07/01/2023 00:00:00","e352afe8-a68f-59a4-8e71-0abdbe3e2d21","1000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZR","Sentinel","Management and Governance"
"1000 GB Commitment Tier","1/Day","Consumption","3748.6598","3748.6598","EUR","AE Central","07/01/2023 00:00:00","e352afe8-a68f-59a4-8e71-0abdbe3e2d21","1000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02ZR","Sentinel","Management and Governance"
"10000 GB Commitment Tier","1/Day","Consumption","28564.9853","28564.9853","GBP","AE Central","09/01/2023 00:00:00","28200047-44d1-556d-b535-00bd2011dc37","10000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03MK","Sentinel","Management and Governance"
"10000 GB Commitment Tier","1/Day","Consumption","33617.0138","33617.0138","EUR","AE Central","09/01/2023 00:00:00","28200047-44d1-556d-b535-00bd2011dc37","10000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03MK","Sentinel","Management and Governance"
"10000 GB Commitment Tier","1/Day","Consumption","38252.8","38252.8","USD","AE Central","09/01/2023 00:00:00","28200047-44d1-556d-b535-00bd2011dc37","10000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03MK","Sentinel","Management and Governance"
"200 GB Commitment Tier","1/Day","Consumption","703.8495","703.8495","GBP","AE Central","07/01/2023 00:00:00","0072eef4-0267-59e5-8ba5-b7839d48d0c8","200 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02XT","Sentinel","Management and Governance"
"200 GB Commitment Tier","1/Day","Consumption","828.3329","828.3329","EUR","AE Central","07/01/2023 00:00:00","0072eef4-0267-59e5-8ba5-b7839d48d0c8","200 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02XT","Sentinel","Management and Governance"
"200 GB Commitment Tier","1/Day","Consumption","942.56","942.56","USD","AE Central","07/01/2023 00:00:00","0072eef4-0267-59e5-8ba5-b7839d48d0c8","200 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02XT","Sentinel","Management and Governance"
"2000 GB Commitment Tier","1/Day","Consumption","6165.1047","6165.1047","GBP","AE Central","07/01/2023 00:00:00","5984d6a0-17fd-530f-8c55-1351ab49432b","2000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02XQ","Sentinel","Management and Governance"
"2000 GB Commitment Tier","1/Day","Consumption","8256","8256","USD","AE Central","07/01/2023 00:00:00","5984d6a0-17fd-530f-8c55-1351ab49432b","2000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02XQ","Sentinel","Management and Governance"
