"skuName","unitOfMeasure","type","retailPrice","unitPrice","currencyCode","location","effectiveStartDate","meterId","meterName","skuId","productName","serviceFamily"
"100 GB Commitment Tier","1/Day","Consumption",274.6743,274.6743,"GBP","UK South","2023-07-01T00:00:00Z","0bfcfe41-9e47-50c0-96dc-2701c7d04902","100 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QZ","Sentinel","Management and Governance"
"1000 GB Commitment Tier","1/Day","Consumption",2301.3251,2301.3251,"GBP","UK South","2023-07-01T00:00:00Z","764c0798-2b07-5ab7-9a47-5829913b5ebe","1000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QG","Sentinel","Management and Governance"
"10000 GB Commitment Tier","1/Day","Consumption",20637.6898,20637.6898,"GBP","UK South","2023-09-01T00:00:00Z","aa4f7971-d992-5e4e-a9d3-ccae25cbe049","10000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03HB","Sentinel","Management and Governance"
"200 GB Commitment Tier","1/Day","Consumption",508.5186,508.5186,"GBP","UK South","2023-07-01T00:00:00Z","a77661b5-c877-5877-b51e-5405ef9ca93d","200 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QX","Sentinel","Management and Governance"
"2000 GB Commitment Tier","1/Day","Consumption",4454.1776,4454.1776,"GBP","UK South","2023-07-01T00:00:00Z","b6e9e4cd-411b-592d-8919-13e04c15c287","2000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02R1","Sentinel","Management and Governance"
"25000 GB Commitment Tier","1/Day","Consumption",49599.1240,49599.1240,"GBP","UK South","2023-09-01T00:00:00Z","a142f613-9d07-5620-84a8-a38c470af04e","25000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03H8","Sentinel","Management and Governance"
"300 GB Commitment Tier","1/Day","Consumption",742.3629,742.3629,"GBP","UK South","2023-07-01T00:00:00Z","054144fd-d2c3-54e1-ac33-0c414b50cd2d","300 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QS","Sentinel","Management and Governance"
"400 GB Commitment Tier","1/Day","Consumption",962.5923,962.5923,"GBP","UK South","2023-07-01T00:00:00Z","1b52761b-caac-5524-92d8-7bc3f91b4d7f","400 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QT","Sentinel","Management and Governance"
"500 GB Commitment Tier","1/Day","Consumption",1173.8614,1173.8614,"GBP","UK South","2023-07-01T00:00:00Z","e8c621ef-9d6a-53a2-9420-ae31337f205a","500 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QR","Sentinel","Management and Governance"
"5000 GB Commitment Tier","1/Day","Consumption",10717.8650,10717.8650,"GBP","UK South","2023-07-01T00:00:00Z","37bfe7e9-6cef-5297-8b0a-ca1c1d0507ed","5000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02QK","Sentinel","Management and Governance"
